,Name,Stage,Generation,Type1,Legendary/Mythical,Final Score
0,Bulbasaur,0.0,1.0,Grass,N,4.5
1,Ivysaur,1.0,1.0,Grass,N,4.3
2,Venusaur,2.0,1.0,Grass,N,2.4
3,Charmander,0.0,1.0,Fire,N,4
4,Charmeleon,1.0,1.0,Fire,N,2.6
5,Charizard,2.0,1.0,Fire,N,4.4
6,Squirtle,0.0,1.0,Water,N,3.38
7,Wartortle,1.0,1.0,Water,N,3.6
8,Blastoise,2.0,1.0,Water,N,3.5
9,Caterpie,0.0,1.0,Bug,N,3.88
10,Metapod,1.0,1.0,Bug,N,3.1
11,Butterfree,2.0,1.0,Bug,N,3.8
12,Weedle,0.0,1.0,Bug,N,1.25
13,Kakuna,1.0,1.0,Bug,N,2.5
14,Beedrill,2.0,1.0,Bug,N,2.2
15,Pidgey,0.0,1.0,Normal,N,3
16,Pidgeotto,1.0,1.0,Normal,N,2.7
17,Pidgeot,2.0,1.0,Normal,N,2.5
18,Rattata,0.0,1.0,Normal,N,1.5
19,Raticate,1.0,1.0,Normal,N,0.9
20,Spearow,0.0,1.0,Normal,N,1.25
21,Fearow,1.0,1.0,Normal,N,1.4
22,Ekans,0.0,1.0,Poison,N,3
23,Arbok,1.0,1.0,Poison,N,3.6
24,Pikachu,1.0,1.0,Electric,N,4.63
25,Raichu,2.0,1.0,Electric,N,3.7
26,Sandshrew,0.0,1.0,Ground,N,3.13
27,Sandslash,1.0,1.0,Ground,N,2.6
28,Nidoran♀,0.0,1.0,Poison,N,2.25
29,Nidorina,1.0,1.0,Poison,N,2
30,Nidoqueen,2.0,1.0,Poison,N,3.3
31,Nidoran♂,0.0,1.0,Poison,N,3.75
32,Nidorino,1.0,1.0,Poison,N,3.1
33,Nidoking,2.0,1.0,Poison,N,4.1
34,Clefairy,0.0,1.0,Fairy,N,4.4
35,Clefable,1.0,1.0,Fairy,N,3
36,Vulpix,0.0,1.0,Fire,N,4.63
37,Ninetales,1.0,1.0,Fire,N,4.58
38,Jigglypuff,1.0,1.0,Normal,N,3.5
39,Wigglytuff,2.0,1.0,Normal,N,3.4
40,Zubat,0.0,1.0,Poison,N,2.25
41,Golbat,1.0,1.0,Poison,N,2.4
42,Oddish,0.0,1.0,Grass,N,4.25
43,Gloom,1.0,1.0,Grass,N,1.4
44,Vileplume,2.0,1.0,Grass,N,3.8
45,Paras,0.0,1.0,Bug,N,1
46,Parasect,1.0,1.0,Bug,N,1.8
